original_filename,portfolio_path,category,context,authorship_note,publication_recommendation,size_bytes,sha256
REPORT 3 DRAFT(AFTER SUBMISSION COMPLETION).pdf,reports/mrm/01_report_03_electronics_fundamentals.pdf,MRM training / electronics fundamentals,"Early electronics training report covering analog/digital signals, AC/DC/PWM and rover electronic components.",User-authored student report,Public candidate; review MRM/team policy,74088,93d329f2a3796ef676b8bbb3661fcf4fd19f02d3d30490465edeeaaabe40440a
RUSHIL_VARSHNEY_12.pdf,reports/mrm/02_report_11_stepper_motors_and_dc_motor_parameters.pdf,MRM training / motors,Report on stepper motors and practical DC-motor datasheet/operating parameters.,User-authored student report,Public candidate; review MRM/team policy,54220,74361631fc239560f04c71b499d69e4a17187e3c8fe658ba5f2484c65bd987c0
RUSHIL_VARSHNEY_13.pdf,reports/mrm/03_report_12_battery_parameters_and_types.pdf,MRM training / batteries,"Report on battery parameters, state of charge, cutoff voltage, capacity, cycle life and battery types.",User-authored student report,Public candidate; review MRM/team policy,59675,6366bd6852adb05fb30ad4328b4bf5625a0e820840e4337e077a4094da9fa25c
RUSHIL_VARSHNEY_20.pdf,reports/mrm/04_report_20_antenna_comparison_and_yagi_uda.pdf,MRM training / RF,"Antenna comparison report including Yagi-Uda construction principles, gain/directivity and spacing considerations.",User-authored student report,Public candidate; review MRM/team policy,62104,7337569edb2ae246ff7045dac0f04b0d73a142aab9982be08d6adea4a69d37b5
RUSHIL_VARSHNEY_21.pdf,reports/mrm/05_report_21_communication_protocols_and_embedded_c.pdf,MRM training / embedded systems,"Report on I2C/UART/USART and embedded-C exercises including GPIO, timing, sensors, debouncing and binary display logic.",User-authored student report,Public candidate; review MRM/team policy,121453,f9d02c3b8543f7f1f39b2a4ee1523e248e5a54b14e69fac791f340dd3432e606
Molex and fuse holders.pdf,reports/mrm/06_mrm_connector_fuseholder_and_battery_monitoring_notes.pdf,MRM hardware / component sourcing,"Working notes on high-current fuseholders, connector families/locking/current ratings and battery-monitoring ADC constraints.",User-authored project notes,Public candidate; review MRM/team policy,35403,c76794f8da9e1db35958af8e42110b9c97644c9f44501d26695881014b1d9465
Job Instruction Sheet_ Wire repair instructions.pdf,reports/mrm/07_mrm_wire_repair_job_instruction.pdf,MRM hardware / workmanship,"Job instruction covering soldered wire repair, mechanical joints, insulation and crimp connector practices.",User-authored project instruction,Public candidate; review MRM/team policy,50377,070576ace9fc79c809aa28234be20ddb26547cf6844bc66791d2a627486affa1
Job instruction sheet_ Battery Charging.pdf,reports/mrm/08_mrm_battery_charging_job_instruction.pdf,MRM hardware / battery safety,"Battery-charging job instruction documenting supply setup, polarity and high-current LiPo safety practices.",User-authored project instruction,Public candidate; review MRM/team policy,1746456,4060faf0979fc320452d1d5b59477ebbe2d6f8b8019e62d375478ce462744c59
IRDC MRM Report(1).pdf,reports/mrm/09_irdc_mrm_system_design_report_team.pdf,MRM / IRDC system design,"Full Mars Rover Manipal IRDC system report. Relevant user contributions include electronics-box/system integration, power/electronics and thermal-design work discussed in this conversation.",Team report - do not claim sole authorship,Review team/competition publication rights before public upload,11299386,edcbe62601bc9061cf9e9aa4898b8be48740e77510eb71a2624561d16b0083d9
DC to DC converter .pdf,reports/power/01_dc_dc_converter_fundamentals_notes.pdf,Power electronics / DC-DC,"Initial DC-DC converter notes covering converter purpose, controller/power stage concepts, ripple and EV use cases.",User-authored internship/study notes,Review internship/company policy before public upload,176222,fd4a90152f4e332d02278b3246d536aaef6fe76bde2ea523b05d3c340d5e612d
Report 3.pdf,reports/power/02_dc_dc_report_03_architecture_and_control.pdf,Power electronics / DC-DC,"Report 3 on isolated DC-DC architecture, HV/LV switching devices, sensing and phase-shift/control structure.",User-authored internship/study report,Review internship/company policy before public upload,346508,3fa56f2419ba494ca152c3140e45d3468f20239e59451c00c73fe5e91630dcc0
report 4 topologies and control.pdf,reports/power/03_dc_dc_report_04_topologies_and_control.pdf,Power electronics / DC-DC,"Comparison of full bridge, half bridge, resonant, active-clamp and dual-active-bridge converter topologies and control.",User-authored internship/study report,Review internship/company policy before public upload,578022,724e21c3931282f53d7fc562f4e4b7856e959feb930803a2c4562cff6bbae77e
report 5.pdf,reports/power/04_dc_dc_report_05_detailed_topology_operation.pdf,Power electronics / DC-DC,"Detailed converter operating sequences including phase-shift PWM, ZVS/ZCS and switching transitions.",User-authored internship/study report,Review internship/company policy before public upload,678391,15728dc0501ebb00eac590ce281ca6884ce56fd82c704b4bb45a9c4a53abb943
Report on DC to DC converters.pdf,reports/power/05_dc_dc_topology_working_notes.pdf,Power electronics / DC-DC,"Working notes on isolated full/half-bridge and non-isolated buck/boost converters, soft switching and loss mechanisms.",User-authored internship/study notes,Review internship/company policy before public upload,70654,c86c2e17cc55af668d70348f78f189962050b8590322e525570274258aa51a17
Simulation and design parameters to be considered.pdf,reports/power/06_half_bridge_simulation_and_design_parameters.pdf,Power electronics / simulation,"Half-bridge converter simulation/design-parameter notes including transformer inductance, capacitance/ripple and measured simulation waveforms.",User-authored internship/study report,Review internship/company policy before public upload,159044,5f797f40c9e6c42750ae1b15138c83f496b8a2f34ad33a74da2f2ea4ff21bdd5
FINAL REPORT DRAFT 2.pdf,reports/power/07_final_report_comparative_automotive_isolated_dc_dc_converters.pdf,Power electronics / final internship report,"Final comparative report on automotive isolated DC-DC topologies with Proteus half-bridge simulation, dead-time/soft-switching discussion and component selection.",User-authored internship final report,Review internship/company policy before public upload,1348850,a2d9fc5d9f2f2f01d09f0e55f7a0674c12cc975628c24cd2bffb8a7bf10b9217
