portfolio_path,original_filename,category,short,long,status,confidence,related,use,width_px,height_px,sha256
images/pcb/01_stm32_rover_subsystem_interface_pcb_layout.png,e2c56eb6-8e38-45e4-b4fa-e3f0c5c85405.png,PCB & electronics design,STM32 rover subsystem/interface PCB layout,"Two-layer STM32-based rover subsystem/interface PCB layout with labelled interfaces for motors/actuators, ADC, camera, Jetson/UART and other rover subsystems. User reports the 20-pin FRC interface was deliberately mapped so a reversed connector would not short power to ground, making field faults safer and easier to diagnose.",PUBLIC_CANDIDATE,high,IRDC MRM Report(1).pdf; PCB project folders in n00br0x/pcbs (exact project to match during migration),Hero image for PCB/system-integration section,866,766,a0db263de12610263dfe4145fe7d14a257901db6202206ba1d115bf826a5ca6c
images/pcb/02_mrm_custom_pcb_family_and_components.png,577ec2bb-e348-4abc-8f3b-9f95066fcd55.png,PCB & electronics design,Fabricated Mars Rover Manipal PCB family and components,"Collection of fabricated custom rover PCBs, development boards and electronic components from the student-project hardware workflow. Useful as evidence that designs progressed beyond CAD into ordered, assembled and integrated hardware.",PUBLIC_CANDIDATE,high,Gerber/PCB/Schematic files uploaded in this conversation; n00br0x/pcbs,Portfolio overview image,2048,966,8ebc559e999b128ed6b7339e459b50252c1fc2fd0242b7ea07f9d4425fbde153
images/pcb/03_discrete_motor_driver_pcb_layout_render.png,954230c5-853f-4635-b3ae-7d6c17524372.png,PCB & electronics design,Discrete motor-driver PCB layout render,"PCB render of the discrete BJT motor-driver design, showing the board layout produced after schematic/prototyping work. The wider project included transistor-level H-bridge simulation, breadboard/perfboard prototypes, embedded/joystick control and later PCB implementation.",PUBLIC_CANDIDATE,high,Schematic_Motor-driver_2026-08-22.pdf; Gerber_Rectifier_MD-pcb_2026-08-22.zip; ECD PROJECT.pdf,Supporting image for motor-driver project,2048,984,ea0c64695f7f9e822ce094c8475baf7b50ec2373093c73eafbdabd10205461af
images/rover/01_rover_electronics_box_open_chassis_integration.png,34e7e5b4-5ee7-48d1-9172-6e106b06f067.png,Rover system integration,Rover electronics box during integration and maintenance,"Open rover electronics-box/chassis view during hardware integration and maintenance, showing the practical wiring, controllers, power electronics and service access involved in keeping the prototype operational.",PUBLIC_CANDIDATE,high,IRDC MRM Report(1).pdf; Job Instruction Sheet_ Wire repair instructions.pdf,Strong system-integration image,2048,984,0839dbadf5d20ba7e2dacec7425b6d204a02c415d84d790d61342b5431ba4336
images/rover/02_indoor_jetson_stm32_integration_test_mule.png,37bd476c-9c54-4bcb-b5b8-d7dad675bcc3.png,Rover system integration,Indoor Jetson/STM32 integration test mule,"Small indoor hardware test mule built so the team could test the Jetson, STM32, or both together without repeatedly deploying the roughly 50 kg rover. User reports it was used for controller integration, networking and video-encoding tests and was especially useful during heavy Manipal rains.",PUBLIC_CANDIDATE,high,IRDC MRM Report(1).pdf (Jetson/STM32/CAN architecture); user-supplied project context,Hero image for design-for-test / engineering infrastructure,977,1302,098469b5bf5f3244f7e35a49a632ddf8c352aa33007bf251ed05aa5a6a561e4e
images/rover/03_rover_electronics_top_view_power_distribution_and_subsystems.png,160f6932-ee39-43f7-bbf7-2684d4fbc56d.png,Rover system integration,Rover electronics and power-distribution top view,"Top view of the rover electronics installation showing distribution hardware, wiring, controllers and subsystem packaging in the chassis. Good visual context for the system-level electrical integration described in the IRDC report.",PUBLIC_CANDIDATE,high,IRDC MRM Report(1).pdf,System architecture/supporting image,1032,477,3a614209f0a594440657f29dee10ac9845db35d01172c7b0f67dadceab1d5dcc
images/harness/01_charred_power_connectors_after_momentary_lipo_short.png,656b2b29-1ed5-4d07-b5b6-282d1f82572c.png,"Harness, connectors & field repair",Power connectors damaged by a momentary LiPo short,Two power connectors after a momentary LiPo short. User supplied this as a safety/lessons-learned example from working with high-current rover batteries. The team battery instructions explicitly treated short-circuit current as a serious hazard.,PUBLIC_CANDIDATE,high,Job instruction sheet_ Battery Charging.pdf,Lessons-learned / safety image; not a hero image,626,1302,b9a53a9de03a906ca2090315efa09fa989630dca021891a9ec39da8f5fc6d5b7
images/harness/02_improvised_power_data_splitter_adapter.png,9c1ecc61-a02e-42c7-b9e8-c1755db931ba.png,"Harness, connectors & field repair",Improvised splitter/adapter cable,Example of the improvised adapters and connectors used to keep rover development moving when dedicated harness hardware was unavailable. Keep the caption focused on prototyping/test use rather than production workmanship.,PUBLIC_CANDIDATE,high,"Job Instruction Sheet_ Wire repair instructions.pdf; user-supplied context on XT60/XT90, Anderson, Molex, ferrules and Wago work",Supporting image for hands-on hardware section,2048,984,8f11af17566cbbc68dfe0f1978d4e60debcbff819ed9524896c23a8db85675c6
images/harness/03_prototype_power_harness_with_dc_dc_module.png,044d2b82-ae4f-44a9-b1fd-64450944acb4.png,"Harness, connectors & field repair",Prototype power harness with DC-DC module,"Prototype power wiring/harness assembly with an inline DC-DC module and hand-made terminations. Representative of the team's frequent custom harness, connector and power-distribution work.",PUBLIC_CANDIDATE,high,Job Instruction Sheet_ Wire repair instructions.pdf; Molex and fuse holders.pdf,Supporting image,1775,855,edf877ddf9ded36ce3622598ce8ff7d3fa1b54f5b01eb35bc707517fba070c3e
images/harness/04_cytron_md13s_motor_controller_field_hardware_closeup.png,322d0c6d-bf03-4060-a85e-a6cfa510597a.png,"Harness, connectors & field repair",Cytron MD13S motor-controller field hardware close-up,Close-up of a Cytron MD13S motor controller used in rover hardware. The image is useful as field-hardware context rather than as evidence of a custom PCB design.,PUBLIC_CANDIDATE,high,cytron.PrjPcb; cytron test 1.zip; user-supplied rover context,Supporting field-hardware image,581,1032,0f7593f8e80ec6446d282bf2f2426f3bee3c738ad04658e7dde2041bcca7d3a9
